© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Workspace	My Projects
Project	hd_microarray
Analysis	Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Date	Mon Jan 20 14:26:17 PST 2020
Analysis ID	18745379

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Protein Kinase A Signaling	4E-01		2.61E-03	H1-5	
Molecular Mechanisms of Cancer	4.02E-01		2.63E-03	LRP1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.87E-01		3.36E-03	LRP1	
Neuroinflammation Signaling Pathway	4.98E-01		3.46E-03	GAD2	
Sirtuin Signaling Pathway	5.13E-01		3.61E-03	H1-5	
Colorectal Cancer Metastasis Signaling	5.58E-01		4.08E-03	LRP1	
Sperm Motility	6.12E-01		4.72E-03	DDR2	
Actin Cytoskeleton Signaling	6.18E-01		4.78E-03	TIAM1	
Superpathway of Inositol Phosphate Compounds	6.54E-01		5.26E-03	NUDT11	
NRF2-mediated Oxidative Stress Response	6.64E-01		5.41E-03	HERPUD1	
Wnt/β-catenin Signaling	6.97E-01		5.88E-03	LRP1	
Tight Junction Signaling	7.04E-01		5.99E-03	TIAM1	
Dendritic Cell Maturation	7.06E-01		6.02E-03	DDR2	
3-phosphoinositide Biosynthesis	7.26E-01		6.33E-03	NUDT11	
D-myo-inositol-5-phosphate Metabolism	7.49E-01		6.71E-03	NUDT11	
3-phosphoinositide Degradation	7.52E-01		6.76E-03	NUDT11	
Endocannabinoid Cancer Inhibition Pathway	7.71E-01		7.09E-03	NUPR1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
Iron homeostasis signaling pathway	8.06E-01		7.75E-03	LRP1	
IL-15 Production	8.42E-01		8.47E-03	DDR2	
Endocannabinoid Developing Neuron Pathway	8.52E-01		8.70E-03	STMN2	
Rac Signaling	8.74E-01		9.17E-03	TIAM1	
Type I Diabetes Mellitus Signaling	9.01E-01		9.80E-03	GAD2	
GABA Receptor Signaling	9.34E-01		1.06E-02	GAD2	
Factors Promoting Cardiogenesis in Vertebrates	9.52E-01		1.11E-02	LRP1	
Synaptogenesis Signaling Pathway	1.22E00		6.56E-03	LRP1,TIAM1	
Inhibition of Matrix Metalloproteases	1.31E00		2.63E-02	LRP1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.5E00		9.35E-03	DLX5,LRP1	
Granzyme A Signaling	1.66E00		5.88E-02	H1-5	
Glutamate Degradation III (via 4-aminobutyrate)	2.18E00		2.00E-01	GAD2	
Glutamate Dependent Acid Resistance	2.58E00		5.00E-01	GAD2	
Osteoarthritis Pathway	2.64E00		1.49E-02	DDR2,DLX5,LRP1	

Upstream Regulators for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Analysis	ID	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
TRIB3	kinase	 	1	 	 	-1.000	3.01E-02	3.24E-02	TRIB3	HERPUD1	1 (1)	1	APP,clopidogrel,NFkB (complex)	HDL-cholesterol,SP600125	 	 	RELA	 	 	 	 	
caspase	group	 	1	 	 	1.000	3.01E-02	1.38E-02	caspase	HERPUD1	1 (1)	1	CASP1,CASP10,Casp12,CASP8,copper,CYCS,cytochrome C,daunorubicin,death receptor,diclofenac,dinoprost,FOXL2,glycochenodeoxycholate,GRAMD4,hypoxanthine,Ifn,NLRP1,NLRP2,PDCD5,PRNP,RIPK3	AQP1,BAG1,BEX3,CAPN1,CARD16,CEL,IGBP1,KLF4,LOC100359583/Ptma,mir-138,MRTFA,NOL3,OTUB1,phloretin,PI3,rasagiline,SP600125,TMBIM6,vitamin D,zVAD	 	 	 	 	 	 	 	
leucine	chemical - endogenous mammalian	 	1	 	 	-1.000	3.01E-02	3.16E-02	leucine	HERPUD1	1 (1)	1	 	 	 	HDL-cholesterol	DDIT3	 	 	 	 	
mir-183	microRNA	 	1	 	 	-1.000	3.01E-02	4.32E-02	mir-183	LRP1	1 (1)	1	 	 	 	 	KLF4,SEL1L	 	 	 	 	
benfotiamine	chemical drug	 	2	 	 	0.577	3.06E-02	4.51E-02	benfotiamine,NFkB (complex),Pkc(s)	BCL11B,GAD2,KCND3	3 (3)	2	 	 	 	 	NFkB (complex)	 	 	 	 	
chloramine	chemical toxicant	 	2	 	 	0.577	3.11E-02	4.59E-02	chloramine,NFkB (complex),Pkc(s)	BCL11B,GAD2,KCND3	3 (3)	2	 	 	 	 	NFkB (complex)	 	 	 	 	
THBS1	other	 	1	 	 	1.000	3.14E-02	1.22E-02	THBS1	LRP1	1 (1)	1	caffeine,CXCL12,SRA1,theophylline	Collagen(s),DPP4,KLF4,Nr1h,PLCG1,SP600125	 	CASP8,NFkB (complex)	 	 	 	 	 	
ambroxol	chemical drug	 	2	 	 	0.577	3.20E-02	4.74E-02	ambroxol,NFkB (complex),Pkc(s)	BCL11B,GAD2,KCND3	3 (3)	2	 	 	 	 	NFkB (complex)	 	 	 	 	
fluvastatin	chemical drug	 	1	 	 	1.000	3.26E-02	2.49E-02	fluvastatin	LRP1	1 (1)	1	 	 	 	CASP8,HDL-cholesterol	APP,NFkB (complex)	 	 	 	 	
MMP14	peptidase	 	1	 	 	-1.000	3.38E-02	3.01E-02	MMP14	LRP1	1 (1)	1	BMP4,NEDD9,PKMYT1,PKN3	DPP4,MEOX2,mir-181,vitamin E	 	Collagen(s)	 	 	 	 	 	
TCF7L1	transcription regulator	 	1	 	 	1.000	3.63E-02	4.52E-02	TCF7L1	STMN2	1 (1)	1	 	PRNP	 	 	KLF4,TNFRSF19	 	 	 	 	
mifepristone	chemical drug	 	1	 	 	0.000	3.71E-02	4.13E-02	mifepristone	LRP1,TAC3	2 (1)	1	 	 	 	CASP1,dinoprost,EFNB2,FDFT1,KLF4,STAT4	CYP2C19,cytokine,RELA	 	 	 	 	
MBD2	transcription regulator	 	1	 	 	1.000	3.88E-02	4.60E-02	MBD2	NUPR1	1 (1)	1	 	 	 	RELB	CEL,ELANE	 	 	 	 	
MIR124	group	 	1	 	 	-1.000	3.88E-02	4.33E-02	MIR124	DLX5	1 (1)	1	 	 	 	DLX5	RELA	 	 	 	 	
Ins1	other	 	1	 	 	0.000	3.91E-02	4.89E-02	Ins1	DLX5,LRP1	2 (1)	1	CEL,HFE,MAPK8IP1,potassium chloride	ATF4,bexarotene,DPP4,IL1R1,TERF2IP	 	atypical protein kinase C,DDIT3,DLX5,ELK1,FDFT1,NFkB (complex),PLCG1	CETP	 	 	 	 	
gamma-linolenic acid	chemical - endogenous mammalian	 	2	 	 	1.414	4.20E-02	4.37E-02	gamma-linolenic acid,Pkc(s),PTGS2	BCL11B,DLX5	2 (3)	2	SCD	 	 	 	 	 	 	 	 	
bardoxolone	chemical drug	 	1	 	 	1.000	4.24E-02	4.61E-02	bardoxolone	HERPUD1	1 (1)	1	 	 	 	CASP8,DDIT3,GSR	 	 	 	 	 	
SP600125	chemical - kinase inhibitor	 	1	 	 	-1.414	4.29E-02	3.82E-02	SP600125	H2BC10,NUPR1	2 (1)	1	 	 	 	NFkB (complex)	AQP1,CASP1,CASP8,caspase,MAPK8IP1,mir-15,NEDD9,RELA,SCD,THBS1,TRIB3	 	 	 	 	
MEOX2	transcription regulator	 	1	 	 	1.000	4.61E-02	3.01E-02	MEOX2	LRP1	1 (1)	1	 	 	 	NFkB (complex)	MMP14,TNFAIP3	 	 	 	 	
NEDD9	other	 	1	 	 	1.000	4.61E-02	4.53E-02	NEDD9	LRP1	1 (1)	1	 	SP600125	 	MMP14	 	 	 	 	 	
Irgm1	other	 	1	 	biased	-1.000	4.73E-02	3.93E-02	Irgm1	NUPR1	1 (1)	1	APP	prednisolone	 	 	 	 	 	 	 	
NAMPT	cytokine	 	1	 	 	-1.000	4.85E-02	2.91E-02	NAMPT	TMSB15A	1 (1)	1	APP,RELA	 	 	 	CASP8	 	 	 	 	
A2M	transporter	 	1	 	 	1.000	5.10E-02	4.88E-02	A2M	LRP1	1 (1)	1	acetaminophen,PC-PLC	RELA	 	ATF4	DDIT3,ELANE,ELK1,WNT10B	 	 	 	 	
ELK1	transcription regulator	 	1	 	 	1.000	5.22E-02	4.48E-02	ELK1	NUPR1	1 (1)	1	Bvr,Ins1,NFkB (complex),PPME1	A2M,APP,DIRAS1,MAPK8IP1,PLCG1	 	 	 	 	 	 	 	
CXCR4	G-protein coupled receptor	 	1	 	 	-1.000	5.58E-02	4.56E-02	CXCR4	DLX5	1 (1)	1	FOXC1,histamine,NFkB (complex),RELA	APP,PPIF,prednisolone	 	DLX5	DPP4	 	 	 	 	
SCD	enzyme	 	1	 	 	-1.000	5.70E-02	4.06E-02	SCD	HERPUD1	1 (1)	1	bexarotene,CASP1,fibric acid derivative,lysophosphatidylcholine,Nr1h,RORA	3,5-L-diiodothyronine,SP600125	 	gamma-linolenic acid,PEMT	DDIT3	 	 	 	 	
mir-181	microRNA	 	1	 	 	1.000	5.82E-02	4.58E-02	mir-181	DLX5	1 (1)	1	bufalin	vitamin D	 	NFkB (complex)	APP,DLX5,MMP14	 	 	 	 	
caffeine	chemical drug	 	1	 	 	-1.000	6.42E-02	2.58E-02	caffeine	LRP1	1 (1)	1	 	 	 	THBS1	Adora3/LOC100911796,CASP1	 	 	 	 	

Diseases and Bio Functions for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Categories	Functions	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Notes	Bias-corrected z-score	Molecules	# Molecules	
Connective Tissue Development and Function, Embryonic Development, Organ Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	muscularization	Muscularization of jaw bone	1.65E-06	 	 	 	 	DLX5,DLX6	2	
Cellular Movement, Connective Tissue Development and Function	migration	Migration of fibroblasts	6.84E-05	 	 	 	 	TIAM1,LRP1,C5orf30,DDR2	4	
Connective Tissue Development and Function, Embryonic Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	formation	Formation of craniofacial skeleton	1.72E-04	 	 	 	 	DLX5,DLX6	2	
Organismal Injury and Abnormalities	benign lesion	Benign lesion	2.64E-04	 	 	 	 	DLX5,STMN2,BCL11B,SLC7A3,KCND3,LRP1B,C5orf30,DDR2	8	
Dental Disease, Digestive System Development and Function, Gastrointestinal Disease, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of molar tooth	2.79E-04	 	 	 	 	DLX5,BCL11B	2	
Connective Tissue Development and Function, Connective Tissue Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Respiratory Disease, Respiratory System Development and Function, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of nasal bone	3.76E-04	 	 	 	 	DLX5,DDR2	2	
Connective Tissue Development and Function, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	size	Size of cranium	4.11E-04	 	 	 	 	DLX5,DDR2	2	
Cell Morphology, Cellular Assembly and Organization, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Nervous System Development and Function, Organismal Development, Tissue Development	axonogenesis	Axonogenesis	5.94E-04	 	 	 	 	DLX5,BCL11B,TIAM1,LRP1	4	
Cell Death and Survival	apoptosis	Apoptosis of sensory neurons	6.12E-04	 	 	 	 	BCL11B,LRP1	2	
Cellular Movement, Nervous System Development and Function	migration	Migration of Schwann cells	6.12E-04	 	 	 	 	TIAM1,LRP1	2	
Dental Disease, Digestive System Development and Function, Gastrointestinal Disease, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of incisor	1.25E-03	 	 	 	 	DLX5,BCL11B	2	
Connective Tissue Development and Function, Connective Tissue Disorders, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of skull vault	1.25E-03	 	 	 	 	DLX5,DDR2	2	
Connective Tissue Development and Function, Connective Tissue Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of lacrimal bone	1.31E-03	 	 	 	 	DLX5	1	
Digestive System Development and Function, Gastrointestinal Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function	abnormal morphology	Abnormal morphology of mylohyoid muscle	1.31E-03	 	 	 	 	DLX5	1	
Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	atrophoderma vermiculatum	Atrophoderma vermiculatum	1.31E-03	 	 	 	 	LRP1	1	
Cell-To-Cell Signaling and Interaction	attachment	Attachment of thyroid tumor cell lines	1.31E-03	 	 	 	 	LRP1	1	
Cardiovascular Disease, Hereditary Disorder, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	Brugada syndrome type 10	Brugada syndrome type 10	1.31E-03	 	 	 	 	KCND3	1	
Cell Death and Survival, Cellular Function and Maintenance	clearance	Clearance of mesothelial cells	1.31E-03	 	 	 	 	DDR2	1	
Cell-To-Cell Signaling and Interaction	detachment	Detachment of thyroid tumor cell lines	1.31E-03	 	 	 	 	LRP1	1	
Cellular Development, Cellular Growth and Proliferation, Nervous System Development and Function, Tissue Development	development	Development of corticospinal neurons	1.31E-03	 	 	 	 	BCL11B	1	
Auditory and Vestibular System Development and Function, Embryonic Development, Organ Development, Organismal Development, Tissue Development	development	Development of otic capsule	1.31E-03	 	 	 	 	DLX5	1	
Embryonic Development, Organ Development, Organismal Development, Tissue Development	development	Development of vomeronasal organ	1.31E-03	 	 	 	 	BCL11B	1	
Developmental Disorder, Embryonic Development, Tissue Morphology	disorganization	Disorganization of accessory olfactory bulb	1.31E-03	 	 	 	 	BCL11B	1	
Cancer, Cell Cycle, Organismal Injury and Abnormalities	cell cycle progression	Entry into cell cycle progression of fibrosarcoma cells	1.31E-03	 	 	 	 	DDR2	1	
Cancer, Cell Cycle, Organismal Injury and Abnormalities	cell cycle progression	Entry into cell cycle progression of melanoma cells	1.31E-03	 	 	 	 	DDR2	1	
Cell-To-Cell Signaling and Interaction	growth	Growth of neuromuscular junctions	1.31E-03	 	 	 	 	PDZRN3	1	
Developmental Disorder, Endocrine System Disorders, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Reproductive System Disease	hypogonadotropic hypogonadism 10 without anosmia	Hypogonadotropic hypogonadism 10 without anosmia	1.31E-03	 	 	 	 	TAC3	1	
Developmental Disorder, Hereditary Disorder, Immunological Disease, Metabolic Disease, Organismal Injury and Abnormalities	immunodeficiency 49	Immunodeficiency 49	1.31E-03	 	 	 	 	BCL11B	1	
Amino Acid Metabolism, Small Molecule Biochemistry	incorporation	Incorporation of arginine	1.31E-03	 	 	 	 	SLC7A3	1	
Cellular Assembly and Organization	assembly	Initiation of assembly of nuclear speckles	1.31E-03	 	 	 	 	NEAT1	1	
Connective Tissue Disorders, Developmental Disorder, Gastrointestinal Disease, Hematological Disease, Hereditary Disorder, Immunological Disease, Neurological Disease, Organismal Development, Organismal Injury and Abnormalities, Psychological Disorders, Skeletal and Muscular Disorders	intellectual developmental disorder with speech delay, dysmorphic facies and T-cell abnormalities	Intellectual developmental disorder with speech delay, dysmorphic facies and T-cell abnormalities	1.31E-03	 	 	 	 	BCL11B	1	
Developmental Disorder, Endocrine System Disorders, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Reproductive System Disease, Respiratory Disease	Kallmann syndrome type 10	Kallmann syndrome type 10	1.31E-03	 	 	 	 	TAC3	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	leptomeningeal carcinomatosis	Leptomeningeal carcinomatosis	1.31E-03	 	 	 	 	LRP1	1	
Cell Morphology, Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Nervous System Development and Function, Organ Development, Organ Morphology, Organismal Development, Tissue Development	morphogenesis	Morphogenesis of mitral cells	1.31E-03	 	 	 	 	DLX5	1	
Cellular Assembly and Organization, Cellular Function and Maintenance	permeability	Permeability of lysosome	1.31E-03	 	 	 	 	LRP1	1	
Cellular Function and Maintenance, Cellular Growth and Proliferation, Nervous System Development and Function	production	Production of periglomerular neurons	1.31E-03	 	 	 	 	DLX5	1	
Organ Morphology, Organismal Development, Respiratory System Development and Function, Tissue Morphology	size	Size of olfactory epithelium	1.31E-03	 	 	 	 	DLX5	1	
Auditory Disease, Developmental Disorder, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	split-hand/foot malformation 1 with sensorineural hearing loss	Split-hand/foot malformation 1 with sensorineural hearing loss	1.31E-03	 	 	 	 	DLX5	1	
Connective Tissue Disorders, Developmental Disorder, Hereditary Disorder, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	spondylometaepiphyseal dysplasia, short limb-hand type	Spondylometaepiphyseal dysplasia, short limb-hand type	1.31E-03	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	tumorigenesis	Tumorigenesis of endocrine cell lines	1.31E-03	 	 	 	 	NUPR1	1	
Skeletal and Muscular System Development and Function	development	Development of appendicular skeleton	1.65E-03	 	 	 	 	DLX5,DLX6	2	
Developmental Disorder, Embryonic Development, Organismal Development, Tissue Morphology	abnormal morphology	Abnormal morphology of enamel knot	2.62E-03	 	 	 	 	BCL11B	1	
Cell Morphology, Nervous System Development and Function, Neurological Disease, Tissue Morphology	abnormal morphology	Abnormal morphology of periglomerular neurons	2.62E-03	 	 	 	 	DLX5	1	
Organ Morphology, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function	abnormal morphology	Abnormal morphology of pterygoid muscles	2.62E-03	 	 	 	 	DLX5	1	
Cell-To-Cell Signaling and Interaction, Cellular Movement	chemoattraction	Chemoattraction of sensory neurons	2.62E-03	 	 	 	 	LRP1	1	
Amino Acid Metabolism, Post-Translational Modification, Small Molecule Biochemistry	decarboxylation	Decarboxylation of L-glutamic acid	2.62E-03	 	 	 	 	GAD2	1	
Cell-To-Cell Signaling and Interaction	detachment	Detachment of carcinoma cell lines	2.62E-03	 	 	 	 	LRP1	1	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Digestive System Development and Function, Embryonic Development, Organ Development, Organismal Development, Tissue Development	development	Development of ameloblasts	2.62E-03	 	 	 	 	BCL11B	1	
Cardiovascular Disease	disruption	Disruption of elastic lamina	2.62E-03	 	 	 	 	LRP1	1	
Auditory Disease, Developmental Disorder	hypoplasia	Hypoplasia of otic capsule	2.62E-03	 	 	 	 	DLX5	1	
Cellular Assembly and Organization, Cellular Function and Maintenance	penetration	Penetration of microtubules	2.62E-03	 	 	 	 	TIAM1	1	
Cardiovascular System Development and Function, Cell Morphology	ruffling	Ruffling of endothelial cell lines	2.62E-03	 	 	 	 	TIAM1	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	spinocerebellar ataxia type 19	Spinocerebellar ataxia type 19	2.62E-03	 	 	 	 	KCND3	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	accumulation	Accumulation of cholesterol	3.27E-03	 	 	 	 	LRP1,LRP1B	2	
Cancer, Organismal Injury and Abnormalities	HER2 positive carcinoma	HER2 positive carcinoma	3.79E-03	 	 	 	 	LRP1,LRP1B,DDR2	3	
Cancer, Organismal Injury and Abnormalities	benign solid tumor	Benign solid tumor	3.87E-03	 	 	 	 	STMN2,SLC7A3,KCND3,LRP1B,C5orf30,DDR2	6	
Tissue Development	disassembly	Disassembly of extracellular matrix	3.89E-03	 	 	 	 	LRP1,DDR2	2	
Developmental Disorder, Embryonic Development, Organismal Development, Tissue Morphology	abnormal morphology	Abnormal morphology of frontonasal process	3.93E-03	 	 	 	 	DLX5	1	
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization	accumulation	Accumulation of focal adhesions	3.93E-03	 	 	 	 	LRP1	1	
Cell-To-Cell Signaling and Interaction, Nervous System Development and Function	adhesion	Adhesion of Schwann cells	3.93E-03	 	 	 	 	LRP1	1	
Cell-To-Cell Signaling and Interaction	attachment	Attachment of carcinoma cell lines	3.93E-03	 	 	 	 	LRP1	1	
Cardiovascular Disease, Hereditary Disorder, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	Brugada syndrome type 9	Brugada syndrome type 9	3.93E-03	 	 	 	 	KCND3	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	clearance	Delay in clearance of lipid	3.93E-03	 	 	 	 	LRP1	1	
Embryonic Development, Organismal Development, Tissue Development	development	Development of olfactory pit	3.93E-03	 	 	 	 	DLX5	1	
Cellular Assembly and Organization, Cellular Function and Maintenance	endocytosis	Endocytosis of liposome	3.93E-03	 	 	 	 	LRP1	1	
Cell Morphology, Cellular Assembly and Organization, Cellular Function and Maintenance	formation	Formation of axon-like process	3.93E-03	 	 	 	 	TIAM1	1	
Organ Morphology, Organismal Injury and Abnormalities	lack	Lack of vomeronasal organ	3.93E-03	 	 	 	 	DLX5	1	
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Morphology	number	Number of iNKT2 cells	3.93E-03	 	 	 	 	BCL11B	1	
Cardiovascular System Development and Function, Cellular Development, Cellular Growth and Proliferation	outgrowth	Outgrowth of endothelial cell lines	3.93E-03	 	 	 	 	TIAM1	1	
Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Renal and Urological Disease	focal segmental glomerulosclerosis	Primary focal segmental glomerulosclerosis	3.93E-03	 	 	 	 	GAD2	1	
Cellular Function and Maintenance, Cellular Growth and Proliferation, Nervous System Development and Function	production	Production of neuronal progenitor cells	3.93E-03	 	 	 	 	DLX5	1	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, DNA Replication, Recombination, and Repair, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	T cell receptor beta chain V(D)J recombination	T cell receptor beta chain V(D)J recombination	3.93E-03	 	 	 	 	BCL11B	1	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	tumorigenesis	Tumorigenesis of gonadal cell lines	3.93E-03	 	 	 	 	NUPR1	1	
Skeletal and Muscular System Development and Function	development	Development of axial skeleton	4.21E-03	 	 	 	 	DLX5,DLX6	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	high-grade lymphoma	High-grade lymphoma	4.61E-03	 	 	 	 	BCL11B,PDZRN3,LRP1B,DDR2	4	
Endocrine System Disorders, Metabolic Disease, Organismal Injury and Abnormalities	hypothyroidism	Hypothyroidism	4.90E-03	 	 	 	 	H2BC10,SLC7A3	2	
Cell Morphology, Nervous System Development and Function, Neurological Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of mitral cells	5.24E-03	 	 	 	 	DLX5	1	
Developmental Disorder, Embryonic Development, Organismal Development, Tissue Morphology	abnormal morphology	Abnormal morphology of olfactory pit	5.24E-03	 	 	 	 	DLX5	1	
Auditory Disease, Auditory and Vestibular System Development and Function, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of scala vestibuli	5.24E-03	 	 	 	 	DLX5	1	
Embryonic Development, Organismal Development, Tissue Development	development	Development of nasal capsule	5.24E-03	 	 	 	 	DLX5	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	high-grade diffuse glioma	High-grade diffuse glioma	5.24E-03	 	 	 	 	GAD2	1	
Cellular Compromise	leakage	Leakage of lysosome	5.24E-03	 	 	 	 	LRP1	1	
Neurological Disease, Skeletal and Muscular Disorders	mechanical hypersensitivity	Mechanical hypersensitivity of hindpaw	5.24E-03	 	 	 	 	KCND3	1	
Cellular Movement, Connective Tissue Development and Function	migration	Migration of synovial fibroblasts	5.24E-03	 	 	 	 	C5orf30	1	
Cellular Function and Maintenance, Cellular Growth and Proliferation, Nervous System Development and Function	production	Production of granule cells	5.24E-03	 	 	 	 	DLX5	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of L-arginine	5.24E-03	 	 	 	 	SLC7A3	1	
Organismal Injury and Abnormalities, Reproductive System Disease	failure of lactation	Failure of lactation	5.77E-03	 	 	 	 	DLX5,BCL11B	2	
Cancer, Organismal Injury and Abnormalities	metastatic solid tumor	Metastatic solid tumor	6.27E-03	 	 	 	 	STMN2,PDZRN3,GAD2,LRP1,DDR2	5	
Cell Death and Survival	apoptosis	Apoptosis of neurons	6.27E-03	 	-0.305	 	-0.446	BCL11B,NUPR1,LRP1,HERPUD1	4	
Connective Tissue Development and Function, Connective Tissue Disorders, Developmental Disorder, Gastrointestinal Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of mandibular angle	6.54E-03	 	 	 	 	DLX5	1	
Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Respiratory Disease, Respiratory System Development and Function, Tissue Morphology	abnormal morphology	Abnormal morphology of nasal mucosa	6.54E-03	 	 	 	 	DLX5	1	
Connective Tissue Development and Function, Connective Tissue Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of small supraoccipital bone	6.54E-03	 	 	 	 	DLX5	1	
Cell Morphology, Cellular Movement	cell spreading	Cell spreading of neuroblastoma cell lines	6.54E-03	 	 	 	 	TIAM1	1	
Embryonic Development, Organismal Development, Tissue Development	development	Development of mandibular cartilage	6.54E-03	 	 	 	 	DLX5	1	
Embryonic Development, Organ Development, Organismal Development, Respiratory System Development and Function, Tissue Development	development	Development of olfactory epithelium	6.54E-03	 	 	 	 	DLX5	1	
Cellular Assembly and Organization, Cellular Compromise	disruption	Disruption of asters	6.54E-03	 	 	 	 	STMN2	1	
Connective Tissue Disorders, Developmental Disorder, Organismal Injury and Abnormalities, Respiratory Disease, Skeletal and Muscular Disorders	hypoplasia	Hypoplasia of turbinate bone	6.54E-03	 	 	 	 	DLX5	1	
