HD20_vs_CTR,HD18_vs_CTR,HD17_vs_CTR,HD_vs_CTR,HD20_vs_HD19
,,ALG1L6P,,
,,LPP-AS2,,
,,H1FX-AS1,,
,,LRRC66,,
,,NAT8L,,
,,ID4,,
,,PRR7-AS1,,
,,TMEM173,,
,,IQCB2P,,
,,ZNF680,,
,,LOC340268,,
,,ASS1P11,,
,,FAM221A,,
,,TSPAN33,,
,,AGBL3,,
,,NRBP2,,
,,TMEM249,,
,,ZDHHC21,,
,,NHSL2,,
,,NEXMIF,,
,,BEX5,,
,,TCEAL5,,
,,VSIG1,,
,,ZC3H12B,,
,,SATL1,,
,,CA5BP1,,
,,LHFPL1,,
,,NANOS1,,
,,IMPDH1P5,,
,,HMX3,,
,,OTOG,,
,,LOC341056,,
,,ASS1P13,,
,,SYT10,,
,,FREM2,,
,,LRRC9,,
,,ZKSCAN2,,
,,CFI,,
,,STAC2,,
,,ZNF850,,
,,ZNF284,,
,,ZNF677,,
,,PALM3,,
,,IFI35,,
,,CCDC18,,
,,FDPSP1,,
,,KCNT2,,
,,KIAA1211L,,
,,NCKAP5,,
,,KRT8P10,,
,,CDKL4,,
,,KRT18P39,,
,,RPL12P17,,
,,KRT18P17,,
,,LRIT3,,
,,ZNF879,,
,,IRGM,,
,,ACTBL2,,
,,FAM174A,,
,,MTX3,,
,,BTF3P10,,
,,ZNF391,,
,,KIF24,,
,,CAVIN4,,
,,RPL36P14,,
,,ZNF81,,
,,LANCL3,,
,,SOWAHD,,
,,RAB41,,
,,GNG5P2,,
,,SOX2-OT,,
,,USP32P3,,
,,LRRTM3,,
,,TUBB2B,,
,,SERINC2,,
,,PWARSN,,
,,AMIGO2,,
,,ANKDD1A,,
,,IGF2,,
,,ARPIN,,
,,PKD1P5,,
,,CLEC18A,,
,,CCDC144CP,,
,,MCRIP1,,
,,ZNF530,,
,,FAM131C,,
,,IGFBP3,,
,,GEN1,,
,,IGFBP4,,
,,IGFBP5,,
,,NPHP3-AS1,,
,,IGFBP6,,
,,NIPAL4,,
,,ZNF713,,
,,LINC00265,,
,,DPY19L2P2,,
,,LINC00965,,
,,FOXD4L4,,
,,DNAAF3,,
,,GATS,,
,,APRT,,
,,ZNF429,,
,,RAET1G,,
,,ZNF445,,
,,SPATA12,,
,,PSIP1P1,,
,,ZNF233,,
,,PKD1P4,,
,,IKBKB,,
,,IL1B,,
,,IL1R1,,
,,IL1RAP,,
,,IL2RB,,
,,IL3RA,,
,,IL4R,,
,,IL7,,
,,IL7R,,
,,IL13RA1,,
,,EIF4A1P2,,
,,IL13RA2,,
,,KRT18P10,,
,,IL15RA,,
,,FKBP9P1,,
,,IL16,,
,,IL18,,
,,ILK,,
,,IMPDH1,,
,,INHBA,,
,,INPP1,,
,,INSIG1,,
,,INSM1,,
,,EIF3E,,
,,IPW,,
,,IRAK1,,
,,IRF7,,
,,AR,,
,,ITGA1,,
,,ITGA3,,
,,ITGA4,,
,,ITGA5,,
,,ITGB1,,
,,ITGB2,,
,,ITGB4,,
,,EIF6,,
,,ITGB6,,
,,ITGB8,,
,,ITIH3,,
,,ITK,,
,,ITPKA,,
,,ITPR3,,
,,IVD,,
,,JAG2,,
,,JUN,,
,,JUP,,
,,STK19B,,
,,ANOS2P,,
,,KCNA2,,
,,KCNA3,,
,,AREG,,
,,NDUFS7,,
,,GALNT18,,
,,FAM111B,,
,,PTPRQ,,
,,KCNC1,,
,,TEX9,,
,,GOLGA6L5P,,
,,YJEFN3,,
,,SBSN,,
,,ZNF829,,
,,KCNC4,,
,,ZNF568,,
,,IGFL1,,
,,DRAXIN,,
,,ARF1,,
,,KCND1,,
,,SFT2D2,,
,,STUM,,
,,FAM89A,,
,,KCND3,,
,,ANKRD36,,
,,LINC01116,,
,,RBM44,,
,,C3orf62,,
,,KCNF1,,
,,MAST4,,
,,KCNG1,,
,,GUSBP4,,
,,KCNH1,,
,,WASH5P,,
,,ENHO,,
,,PTAR1,,
,,ERCC6L2,,
,,CYSRT1,,
,,KCNJ2,,
,,KCNJ4,,
,,KCNJ5,,
,,KCNJ9,,
,,KCNJ10,,
,,KCNJ13,,
,,KCNJ15,,
,,RPL24P4,,
,,KCNK1,,
,,KCNK3,,
,,KCNMB1,,
,,ARF4,,
,,KCNN4,,
,,KCNS1,,
,,NHLRC1,,
,,MALAT1,,
,,ARL4D,,
,,KCNS3,,
,,PSMA3-AS1,,
,,KDR,,
,,KIF5A,,
,,ARF4P1,,
,,KIF5C,,
,,KIFC3,,
,,ARF5,,
,,KISS1,,
,,KLRD1,,
,,KIF11,,
,,KPNA5,,
,,KRT3,,
,,KRT4,,
,,KRT5,,
,,KRT6B,,
,,KRT7,,
,,KRT8,,
,,KRT14,,
,,RNF144A-AS1,,
,,KRT15,,
,,KCTD4,,
,,SAP30L-AS1,,
,,AMIGO3,,
,,ZNF582-AS1,,
,,KRT16,,
,,SNHG5,,
,,RPL29P4,,
,,SOGA3,,
,,KRT17,,
,,C6orf120,,
,,RASL11A,,
,,KRT18,,
,,GPR153,,
,,ILDR2,,
,,KRT18P11,,
,,SKIDA1,,
,,LRRC37A6P,,
,,ENO4,,
,,FAM86GP,,
,,GVINP1,,
,,RPL21P97,,
,,INSC,,
,,LIPT2,,
,,REP15,,
,,RPSAP12,,
,,C12orf75,,
,,SHISA2,,
,,NHLRC3,,
,,KRT19,,
,,RTL1,,
,,TNFAIP8L3,,
,,C15orf59,,
,,UBE2Q2P1,,
,,SBK1,,
,,C16orf47,,
,,LRRC75A,,
,,RPS7P1,,
,,CCDC103,,
,,YPEL2,,
,,RPL7AP66,,
,,KRT34,,
,,ZNF788,,
,,CYP4F24P,,
,,RPSAP58,,
,,IGFL3,,
,,ZNF808,,
,,ZNF888,,
,,ZNF470,,
,,RPL23AP87,,
,,HES5,,
,,HS6ST1P1,,
,,TRNP1,,
,,TRABD2B,,
,,FAM69A,,
,,SLC6A17,,
,,KRT81,,
,,RPSAP18,,
,,C1orf53,,
,,COA6,,
,,SNHG17,,
,,MIR99AHG,,
,,KRT83,,
,,RPL5P34,,
,,RHOC,,
,,KRT84,,
,,SLC9A4,,
,,SP5,,
,,C2orf80,,
,,KRT85,,
,,FAM212A,,
,,VGLL3,,
,,KRT86,,
,,HNRNPKP1,,
,,C5orf46,,
,,ARHGEF37,,
,,RPL10P9,,
,,SAMD5,,
,,LOC389473,,
,,KTN1,,
,,FEZF1,,
,,FAM180A,,
,,STRADBP1,,
,,ASNSP1,,
,,RBM12B,,
,,GLIDR,,
,,LOC389765,,
,,LOC389895,,
,,CSAG3,,
,,ACAT2,,
,,RPS24P15,,
,,RPS4XP13,,
,,LAG3,,
,,DOC2GP,,
,,RPL18AP3,,
,,CLIC1P1,,
,,UBAP1L,,
,,GDPGP1,,
,,ZNF793,,
,,ZNF818P,,
,,RHOG,,
,,UOX,,
,,GOT2P2,,
,,KRT18P4,,
,,RPS4XP6,,
,,LAMC2,,
,,KRT18P16,,
,,ARHGAP1,,
,,RPSA,,
,,GDF6,,
,,RPS26P6,,
,,LOC392264,,
,,GPS2P1,,
,,RPL26P36,,
,,ELFN1,,
,,AGMO,,
,,LASP1,,
,,LBR,,
,,LCAT,,
,,LCP1,,
,,LDHA,,
,,ARHGAP6,,
,,LEPR,,
,,LGALS1,,
,,LGALS8,,
,,ARHGDIB,,
,,LHX1,,
,,LIFR,,
,,LIG1,,
,,LIG4,,
,,ABLIM1,,
,,LLGL2,,
,,FADS3,,
,,LOC399715,,
,,BMS1P1,,
,,LOC399783,,
,,LMAN1,,
,,HNRNPKP3,,
,,C11orf87,,
,,ARL1,,
,,LMNA,,
,,SUPT16HP1,,
,,LOC400036,,
,,LINC02381,,
,,C12orf76,,
,,RPSAP53,,
,,RPS26P47,,
,,FLJ22447,,
,,HERC2P2,,
,,LMO1,,
,,LOC400446,,
,,FAM174B,,
,,LMO2,,
,,KNOP1,,
,,LINC01567,,
,,FENDRR,,
,,ZC3H18-AS1,,
,,KCNJ2-AS1,,
,,SOX9-AS1,,
,,LINC00511,,
,,LOC400684,,
,,LINC01801,,
,,PRICKLE3,,
,,C1orf226,,
,,CLEC20A,,
,,LMO7,,
,,MIRLET7BHG,,
,,LINC01376,,
,,EML6,,
,,LINC01122,,
,,PCBP1-AS1,,
,,RPS2P17,,
,,RGPD1,,
,,ANKRD36C,,
,,RPS15P4,,
,,FSIP2,,
,,C2orf66,,
,,LINC00960,,
,,MBNL1-AS1,,
,,C3orf80,,
,,LINC01061,,
,,C4orf3,,
,,LINC01060,,
,,RGS7BP,,
,,RPS25P6,,
,,LOC401261,,
,,KLHL31,,
,,DKFZp451B082,,
,,LINC02538,,
,,C7orf65,,
,,POT1-AS1,,
,,OR2A20P,,
,,ATP6V0E2-AS1,,
,,GASAL1,,
,,SAMD12,,
,,HACD4,,
,,LOX,,
,,GOLGA7B,,
,,LOXL2,,
,,ZNF833P,,
,,RPL23AP2,,
,,ARL2,,
,,RPS17P16,,
,,RPS16P2,,
,,RPL8P4,,
,,RPL5P11,,
,,LOC402221,,
,,LPL,,
,,LINC01000,,
,,IGLON5,,
,,LOC402715,,
,,IFITM10,,
,,LRP2,,
,,LRP4,,
,,LRP6,,
,,HAPLN4,,
,,C6orf201,,
,,LSAMP,,
,,LTA4H,,
,,LUM,,
,,LY6E,,
,,LY6H,,
,,MIR125B1,,
,,MIR186,,
,,TACSTD2,,
,,MIR219A1,,
,,MIR25,,
,,MIR93,,
,,EPCAM,,
,,LOC407835,,
,,MIR17HG,,
,,NOMO3,,
,,OVOS,,
,,SMAD5,,
,,SMAD9,,
,,MAF,,
,,ASIC1,,
,,MAGEA2,,
,,MAL,,
,,STS,,
,,MAP1B,,
,,MAP2,,
,,MAP6,,
,,MAPT,,
,,MARK1,,
,,ARSD,,
,,TBC1D3B,,
,,TBC1D3C,,
,,MARS,,
,,ACBD7,,
,,AGAP6,,
,,CELF2-AS1,,
,,AGAP12P,,
,,DNAJC9-AS1,,
,,MATN3,,
,,DENND6B,,
,,MCC,,
,,MCM2,,
,,MCM3,,
,,MCM4,,
,,DNAJB9,,
,,MDH2,,
,,MDM4,,
,,ME1,,
,,MEF2C,,
,,MEF2D,,
,,ARVCF,,
,,MAP3K1,,
,,MAP3K3,,
,,MET,,
,,MFAP2,,
,,MFAP4,,
,,MFGE8,,
,,MGAT1,,
,,MGAT2,,
,,MIA2,,
,,MGMT,,
,,MGP,,
,,MGST1,,
,,MGST2,,
,,MGST3,,
,,CIITA,,
,,CD99,,
,,MITF,,
,,MKI67,,
,,ASCL1,,
,,KMT2A,,
,,MME,,
,,MMP1,,
,,MMP2,,
,,MMP3,,
,,LHX8,,
,,MMP10,,
,,MMP13,,
,,MMP14,,
,,MMP15,,
,,ALDH6A1,,
,,MPG,,
,,MPI,,
,,MPP1,,
,,ASLP1,,
,,ABCC1,,
,,THAP7-AS1,,
,,LOC439933,,
,,C5orf17,,
,,PRKCQ-AS1,,
,,RPS3AP5,,
,,ASNS,,
,,LOC440028,,
,,RPS12P22,,
,,IQSEC3,,
,,DDX12P,,
,,TMEM198B,,
,,LOC440173,,
,,CCDC88C,,
,,HERC2P9,,
,,GOLGA8B,,
,,GOLGA6L9,,
,,LOC440300,,
,,LOC440311,,
,,NPIPB4,,
,,NPIPB12,,
,,YBX3P1,,
,,RAB43P1,,
,,ZNF506,,
,,LINC00982,,
,,LOC440568,,
,,NPM1P39,,
,,BCL2L15,,
,,NUDT4P1,,
,,HIST2H3PS2,,
,,HIST2H2BF,,
,,RPL35P1,,
,,MIAT,,
,,FAR2P1,,
,,THUMPD3-AS1,,
,,SMIM4,,
,,LOC440982,,
,,RPS20P14,,
,,LINC00969,,
,,TMEM150C,,
,,RPL7AP30,,
,,RPL26P19,,
,,NR2F1-AS1,,
,,RPLP0P9,,
,,GTF2IP20,,
,,ARPC3P5,,
,,IMPDH1P9,,
,,KRT18P38,,
,,CALHM6,,
,,FLJ46906,,
,,RNF216P1,,
,,LOC441204,,
,,RPL35P5,,
,,SPDYE2,,
,,OR2A9P,,
,,MIR2052HG,,
,,RPS26P3,,
,,ANKRD20A3,,
,,ANKRD20A2,,
,,ANKRD18B,,
,,RPS26P11,,
,,RPS4XP11,,
,,TSPAN11,,
,,PRKXP1,,
,,ANKRD65,,
,,ZFAS1,,
,,LDHAP3,,
,,RPS4XP7,,
,,PTCHD4,,
,,GAPDHP63,,
,,RFPL4B,,
,,RPS12P11,,
,,EEF1DP4,,
,,PTGER4P2-CDK2AP2P2,,
,,SPDYE5,,
,,MIR324,,
,,CITED1,,
,,MSH2,,
,,MSH3,,
,,MSI1,,
,,ASS1,,
,,ARHGEF35,,
,,PALM2-AKAP2,,
,,MST1,,
,,MSX1,,
,,MT1E,,
,,MT1F,,
,,MT1L,,
,,MT1X,,
,,MT2A,,
,,PHF5DP,,
,,MT2P1,,
,,TRNC,,
,,MTCP1,,
,,MTHFD1,,
,,MTHFD1P1,,
,,MTHFR,,
,,MTTP,,
,,TRNG,,
,,TRNK,,
,,TRNL1,,
,,TRNN,,
,,TRNR,,
,,TRNS2,,
,,TRNW,,
,,TRIM37,,
,,ASTN1,,
,,MYBL1,,
,,MYBPC1,,
,,MYCN,,
,,GADD45B,,
,,MYH7,,
,,MYH9,,
,,MYL2,,
,,MYO1C,,
,,MYO1D,,
,,MYO7A,,
,,MYO9B,,
,,PPP1R12B,,
,,MYT1,,
,,NACA,,
,,NAP1L3,,
,,NAP1L4,,
,,NASP,,
,,NCF2,,
,,NDN,,
,,NDP,,
,,NDUFA3,,
,,NDUFA4,,
,,NDUFA8,,
,,NDUFA9,,
,,NDUFB2,,
,,NDUFB7,,
,,NDUFB8,,
,,NDUFB10,,
,,ATM,,
,,NDUFS4,,
,,RPL10A,,
,,NEDD9,,
,,LRRC37A2,,
,,NEFH,,
,,NELL2,,
,,NEU1,,
,,ATP1A2,,
,,NFIA,,
,,ATP1A3,,
,,NFIB,,
,,NFIL3,,
,,NFKBIE,,
,,TONSL,,
,,NFRKB,,
,,ACO1,,
,,ATP1A4,,
,,NGF,,
,,NGFR,,
,,SNU13,,
,,ATP1B1,,
,,NID1,,
,,ATP1B2,,
,,NKTR,,
,,NKX2-2,,
,,NKX3-1,,
,,NKX6-1,,
,,NNAT,,
,,NME2,,
,,NME3,,
,,NME4,,
,,NQO2,,
,,NNMT,,
,,ATP1B3P1,,
,,NOS2,,
,,NOS3,,
,,NOTCH1,,
,,NPY,,
,,NOVA1,,
,,NPAT,,
,,NPC1,,
,,NPM1,,
,,ATP2A1,,
,,NPM1P6,,
,,NPPB,,
,,NPR3,,
,,NPTX2,,
,,NPY2R,,
,,ATP2A3,,
,,NRCAM,,
,,NRGN,,
,,NTF3,,
,,NTRK1,,
,,NTN3,,
,,ROR1,,
,,ATP2B3,,
,,ROR2,,
,,DDR2,,
,,IGIP,,
,,NUCB1,,
,,NUCB2,,
,,OAS1,,
,,HCG11,,
,,GPX8,,
,,PHOSPHO2,,
,,OAS3,,
,,CHAC2,,
,,OAT,,
,,TYMSOS,,
,,OAZ1,,
,,OCA2,,
,,OCRL,,
,,CLEC18B,,
,,BDNF-AS,,
,,OPHN1,,
,,WRAP73,,
,,OPRM1,,
,,ORC1,,
,,OXTR,,
,,P2RX5,,
,,P2RY1,,
,,P2RY2,,
,,P4HA1,,
,,P4HB,,
,,BTF3P9,,
,,RGMB-AS1,,
,,FURIN,,
,,G0S2,,
,,CD207,,
,,COL5A3,,
,,SYCP3,,
,,PODXL2,,
,,PAK3,,
,,CALY,,
,,ANO7,,
,,ARHGEF3,,
,,CNTN3,,
,,PAX6,,
,,MYEF2,,
,,ASAP1,,
,,AK3,,
,,HP1BP3,,
,,NSDHL,,
,,PAX9,,
,,C6orf48,,
,,NTM,,
,,PC,,
,,CDON,,
,,IMPG2,,
,,PDE11A,,
,,SOST,,
,,PCDH1,,
,,PCDH8,,
,,PCDH9,,
,,FAHD2A,,
,,HDDC2,,
,,GOLT1B,,
,,DESI2,,
,,ZNF593,,
,,ZBTB7B,,
,,PCK1,,
,,PCK2,,
,,CALHM2,,
,,MRPL2,,
,,NDUFA13,,
,,PCM1,,
,,POLR1D,,
,,GAL,,
,,CRYL1,,
,,YBX2,,
,,KLHL5,,
,,SEPSECS,,
,,IFT52,,
,,PCNA,,
,,ASB3,,
,,IRAK4,,
,,CHCHD2,,
,,A4GNT,,
,,CERCAM,,
,,SDF4,,
,,PCNT,,
,,EGFL7,,
,,AADAT,,
,,LEF1,,
,,PCOLCE,,
,,TCEAL9,,
,,RAPGEFL1,,
,,PLCE1,,
,,CPA4,,
,,ACP6,,
,,RAB9B,,
,,PCSK1,,
,,ZNF219,,
,,COPZ2,,
,,PIGP,,
,,CRIM1,,
,,PCSK5,,
,,MRPL37,,
,,RNF181,,
,,TMEM216,,
,,PBDC1,,
,,CDK16,,
,,KLF3,,
,,DNAJC27,,
,,CEND1,,
,,CYP39A1,,
,,FKBP11,,
,,FAM13B,,
,,REEP2,,
,,FAM198B,,
,,ARL17A,,
,,ARL6IP4,,
,,SPTBN5,,
,,PRR16,,
,,DACT1,,
,,ZNF117,,
,,PDE1A,,
,,CHST15,,
,,ZMYND10,,
,,POMP,,
,,ATRAID,,
,,PDE2A,,
,,CSAD,,
,,ZNF589,,
,,TRAPPC4,,
,,PPME1,,
,,PDE4A,,
,,PDE4B,,
,,ZNF107,,
,,SUCO,,
,,PRRX2,,
,,REV1,,
,,RHCG,,
,,PDE6C,,
,,PDE6D,,
,,LIMA1,,
,,ANKFY1,,
,,TRIAP1,,
,,TRMT112,,
,,DTL,,
,,PDE9A,,
,,TMEM14C,,
,,ANAPC11,,
,,PDGFB,,
,,PDGFRL,,
,,LARP7,,
,,PDGFRB,,
,,TRIM33,,
,,ATP5G1,,
,,PDHA1,,
,,PIGT,,
,,CCZ1,,
,,SLC25A39,,
,,RTRAF,,
,,MRPL48,,
,,YPEL5,,
,,FAM96B,,
,,PDK3,,
,,PDK4,,
,,FKBP7,,
,,ENPP1,,
,,TPPP3,,
,,GPRC5B,,
,,ZNF44,,
,,RAPGEF6,,
,,ARID4B,,
,,LUC7L3,,
,,SERPINF1,,
,,SYT17,,
,,ATP8A2,,
,,STK26,,
,,RSF1,,
,,MAP3K20,,
,,KDM3B,,
,,ATP5G3,,
,,SIX4,,
,,COQ3,,
,,ADA2,,
,,PEX1,,
,,PEX7,,
,,CFP,,
,,PFDN2,,
,,ATP8B1,,
,,ATP5I,,
,,PFN1,,
,,PGAM1,,
,,PGGT1B,,
,,PGK1,,
,,PGK1P1,,
,,PGK1P2,,
,,PGM1,,
,,ABCB4,,
,,PHB,,
,,SLC25A3,,
,,PHEX,,
,,PHKA1,,
,,PHKA2,,
,,SERPINA1,,
,,SERPINB6,,
,,SERPINE2,,
,,SERPINB9,,
,,PIGF,,
,,PIK3C2B,,
,,PITX1,,
,,PITX2,,
,,PKP1,,
,,PKP2,,
,,PLAUR,,
,,TM6SF2,,
,,LRP1B,,
,,PLCG2,,
,,TPCN1,,
,,ATP6V1G2,,
,,CLIC5,,
,,PLEK,,
,,ATP5LP2,,
,,PLGLB2,,
,,PLGLB1,,
,,PLOD1,,
,,PLOD2,,
,,PLP1,,
,,PLP2,,
,,PLS3,,
,,ADAM22,,
,,BCO1,,
,,S1PR5,,
,,PLXNB1,,
,,PLXNB3,,
,,PMAIP1,,
,,PMM1,,
,,PMM2,,
,,PMP2,,
,,RIPPLY3,,
,,FXYD7,,
,,FXYD6,,
,,FXYD5,,
,,IL20RB,,
,,GPR87,,
,,COPG2IT1,,
,,PELO,,
,,SLCO1C1,,
,,A4GALT,,
,,ACP5,,
,,BRWD1,,
,,RIMKLBP1,,
,,PCBP3,,
,,CYP4F29P,,
,,C21orf58,,
,,C21orf62-AS1,,
,,TSPEAR-AS1,,
,,TSPEAR,,
,,SETD4,,
,,GSAP,,
,,TLR9,,
,,GPR88,,
,,NANS,,
,,TREM1,,
,,SNTG1,,
,,POLD2,,
,,POLE,,
,,GPR85,,
,,GDAP1,,
,,POLR2E,,
,,SOX18,,
,,CYTL1,,
,,SLC38A2,,
,,NLGN3,,
,,YIPF1,,
,,SH3TC1,,
,,SEMA5B,,
,,KCTD5,,
,,ATAD2B,,
,,MOV10L1,,
,,RETREG1,,
,,TRMT13,,
,,FAM105A,,
,,C11orf71,,
,,CPVL,,
,,ADAMTSL4,,
,,POU2F1,,
,,PCDH18,,
,,POU2F2,,
,,WDR44,,
,,ROBO4,,
,,NDUFB11,,
,,POU3F2,,
,,FAM193B,,
,,DDIT4,,
,,SDK2,,
,,POU3F3,,
,,SPATA6,,
,,POU3F4,,
,,EPB41L4B,,
,,SCAND2P,,
,,ATRX,,
,,ARL15,,
,,PARP14,,
,,HES2,,
,,PCDHB18P,,
,,PCDHB17P,,
,,PPARD,,
,,LRRN3,,
,,PPARG,,
,,PDP1,,
,,RBFOX1,,
,,BTN2A3P,,
,,TMED9,,
,,RAB39A,,
,,XAF1,,
,,FBLIM1,,
,,FNDC8,,
,,IL17RD,,
,,PCSK4,,
,,GRAMD1C,,
,,ROPN1,,
,,HYDIN,,
,,CFAP46,,
,,BORCS6,,
,,PPIB,,
,,BNC2,,
,,MBTD1,,
,,PPIC,,
,,HAUS6,,
,,CNNM2,,
,,DYM,,
,,SAMD9,,
,,SWT1,,
,,NUP62CL,,
,,PAQR5,,
,,GON4L,,
,,GDPD2,,
,,PGPEP1,,
,,POLR2J3,,
,,TMEM214,,
,,EPS8L1,,
,,PALMD,,
,,FNBP1L,,
,,CNTLN,,
,,DCAF16,,
,,TBC1D8B,,
,,INO80D,,
,,NSD3,,
,,PPIAP9,,
,,LIME1,,
,,RNF125,,
,,LINC01521,,
,,LPCAT2,,
,,COMMD8,,
,,FAM120C,,
,,TIPIN,,
,,PPP1CA,,
,,AURKAIP1,,
,,ACPP,,
,,PPP1CB,,
,,C19orf24,,
,,PRPF39,,
,,PHIP,,
,,TMEM255A,,
,,NOL8,,
,,CCDC40,,
,,PTCD3,,
,,ZWILCH,,
,,WIPI1,,
,,CCDC157,,
,,NBDY,,
,,LRRC37A4P,,
,,TMEM45A,,
,,FEZF2,,
,,ARGLU1,,
,,SOBP,,
,,SLC38A4,,
,,EBLN2,,
,,AGGF1,,
,,XKR8,,
,,SLC6A15,,
,,CRTAC1,,
,,CEP192,,
,,ANO10,,
,,ARMC4,,
,,FIGN,,
,,TMEM38B,,
,,ARHGEF10L,,
,,PNPO,,
,,MRPS18A,,
,,KLHL11,,
,,DZANK1,,
,,KIAA1551,,
,,ZNF532,,
,,DCUN1D2,,
,,PPP2R2B,,
,,FANCI,,
,,PPP2R2C,,
,,KLHDC8A,,
,,LRRC20,,
,,ETNK2,,
,,PNMA8A,,
,,PCMTD2,,
,,THNSL2,,
,,TMEM143,,
,,ACOXL,,
,,BOLA2,,
,,OLAH,,
,,FERP1,,
,,TMEM144,,
,,SLC29A3,,
,,LARP6,,
,,AGPAT5,,
,,PPP3CC,,
,,FBXL8,,
,,SLC35C1,,
,,ZGRF1,,
,,CHDH,,
,,STK32B,,
,,COPRS,,
,,SLC22A15,,
,,TBC1D2,,
,,TMEM176A,,
,,PIDD1,,
,,PPP4R1L,,
,,LRRC59,,
,,MCM10,,
,,NPY4R,,
,,C1DP1,,
,,MIR31HG,,
,,JPX,,
,,LINC00862,,
,,HIST2H4B,,
,,YOD1,,
,,RBM12B-AS1,,
,,NOP10,,
,,SRGN,,
,,TRIM36,,
,,ELMOD1,,
,,MAML3,,
,,CDCA7L,,
,,IL17RB,,
,,ZNF823,,
,,SOX6,,
,,PLXNA3,,
,,CDC42BPG,,
,,GOLGA2P5,,
,,RNPC3,,
,,FAM46A,,
,,KIF21A,,
,,PPP1R9A,,
,,ANKRD10,,
,,ZNF280C,,
,,FERMT1,,
,,KIF16B,,
,,PRR5,,
,,DOCK10,,
,,TTC27,,
,,ZDHHC7,,
,,SLC39A4,,
,,CHD7,,
,,BCAS4,,
,,ZNF692,,
,,NBPF1,,
,,LIMS2,,
,,MREG,,
,,LUC7L,,
,,RADIL,,
,,PKIB,,
,,CCDC88A,,
,,IPO9,,
,,FAR2,,
,,ZNF334,,
,,SLF2,,
,,CEP72,,
,,ASF1B,,
,,ATF7IP,,
,,C1orf112,,
,,HHAT,,
,,EDEM2,,
,,PARVA,,
,,OGDHL,,
,,CDK5RAP2,,
,,ZNF701,,
,,C1orf106,,
,,H2AFJ,,
,,ZNF83,,
,,PRKAR2B,,
,,CFAP44,,
,,PRKCA,,
,,MCTP2,,
,,TXLNG,,
,,CACNA2D3,,
,,AXL,,
,,PRKCD,,
,,DCP1A,,
,,LRP2BP,,
,,PRKCE,,
,,FOXJ2,,
,,BDP1,,
,,DOK5,,
,,PRKCG,,
,,PAG1,,
,,SELENOS,,
,,PRKCH,,
,,CENPJ,,
,,CISD1,,
,,IDI2-AS1,,
,,KIZ,,
,,BEX1,,
,,ASH1L,,
,,GABRQ,,
,,ZKSCAN7,,
,,GPRC5C,,
,,PRKCZ,,
,,ZNF302,,
,,ACSS2,,
,,KMT2E,,
,,ZC4H2,,
,,ERBIN,,
,,NXT2,,
,,PRKG1,,
,,FAM212B,,
,,MYO5C,,
,,MAPK4,,
,,3-Sep,,
,,NDUFA12,,
,,C20orf24,,
,,BAIAP2L1,,
,,SLC50A1,,
,,ACRV1,,
,,NXF3,,
,,MYDGF,,
,,BARX1,,
,,PDGFC,,
,,MAP2K1,,
,,MAP2K2,,
,,KLHL4,,
,,MAP2K5,,
,,PCDHGB7,,
,,PCDHGB1,,
,,PCDHGA10,,
,,PCDHGA7,,
,,PCDHGA6,,
,,PCDHB15,,
,,PCDHB12,,
,,PCDHB8,,
,,PRKX,,
,,PCDHB6,,
,,PCDHB4,,
,,PCDHB3,,
,,PCDHA12,,
,,PCDHA11,,
,,PCDHA6,,
,,PCDHA5,,
,,PCDHA4,,
,,PCDHA3,,
,,PCDHA2,,
,,PRKY,,
,,NSMCE3,,
,,RNF17,,
,,DNAH7,,
,,ANKH,,
,,FAM214A,,
,,PRNP,,
,,PSPN,,
,,PROC,,
,,SUSD2,,
,,ZNF253,,
,,KIAA1217,,
,,C21orf62,,
,,PRODH,,
,,CPXM1,,
,,KYAT3,,
,,BEX4,,
,,PROX1,,
,,PRPS1,,
,,PRRG1,,
,,LGMN,,
,,LTB4R2,,
,,RELN,,
,,DNAJC12,,
,,CYP26B1,,
,,ERO1B,,
,,ASAH2,,
,,NPDC1,,
,,KCNK12,,
,,VTRNA1-2,,
,,PANX2,,
,,SUCNR1,,
,,NRIP3,,
,,JPH1,,
,,PSG5,,
,,PSMA1,,
,,SLAMF8,,
,,SPHK2,,
,,EMC7,,
,,PSMA7,,
,,KCMF1,,
,,PSMB1,,
,,AGPAT4,,
,,DPYSL5,,
,,ANKS1B,,
,,PSMB2,,
,,NDUFA4L2,,
,,C15orf39,,
,,SPIRE1,,
,,PSMB3,,
,,MAP3K7CL,,
,,MEIS3,,
,,PSMB4,,
,,LXN,,
,,NCLN,,
,,FEM1C,,
,,SMCO4,,
,,CCDC177,,
,,EMSY,,
,,PSMB7,,
,,SMYD2,,
,,PRTFDC1,,
,,NIT2,,
,,PARP6,,
,,STOX2,,
,,PRDM10,,
,,PSMB10,,
,,KIF15,,
,,ACKR3,,
,,CCNL1,,
,,RSRP1,,
,,CHRNA10,,
,,TBX20,,
,,PARP11,,
,,AVEN,,
,,PSMD5,,
,,ZNF695,,
,,GOPC,,
,,LPAR5,,
,,CD248,,
,,PLXDC1,,
,,MAN1C1,,
,,APMAP,,
,,PSMD8,,
,,RNPEPL1,,
,,TMEM63C,,
,,JPH2,,
,,PSMD10,,
,,PELI2,,
,,GJC2,,
,,SALL4,,
,,ACTR3B,,
,,RALGAPA2,,
,,THOC2,,
,,VN1R1,,
